521	NameError: name 'kotlin_Array_kotlin_Any__' is not defined
421	NameError: name 'js' is not defined
271	AttributeError: 'Companion_19' object has no attribute 'constructor'
190	NameError: name 'visitTry_org_jetbrains_kotlin_ir_expressions_impl_IrTryImpl' is not defined
170	NameError: name 'visitExpression_other_org_jetbrains_kotlin_ir_expressions_impl_IrFunctionReferenceImpl' is not defined
166	NameError: name 'Unexpected_operator_EQ' is not defined
105	kotlin.NotImplementedError: An operation is not implemented.
96	org.junit.ComparisonFailure: expected:<[OK]> but was:<[None]>
80	NameError: name 'kotlin_Boolean' is not defined
72	NameError: name 'undefined' is not defined
71	NameError: name 'Array' is not defined
70	AttributeError: 'int' object has no attribute 'data'
67	NameError: name 'kotlin_Any_' is not defined
47	TypeError: unsupported operand type(s) for +: 'NoneType' and 'str'
46	NameError: name 'kotlin_Int' is not defined
46	NameError: name 'kotlin_String' is not defined
43	NameError: name 'kotlin_Any' is not defined
43	NameError: name 'kotlin_UInt' is not defined
42	TypeError: 'NoneType' object is not callable
39	AttributeError: '_no_name_provided__11' object has no attribute 'constructor'
36	AttributeError: 'int' object has no attribute 'compareTo_wiekkq_k_'
36	SyntaxError: invalid syntax
35	NameError: name 'kotlin_Double' is not defined
31	AttributeError: 'NoneType' object has no attribute 'append_uch40_k_'
28	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail]>
27	AttributeError: '_no_name_provided__1_2' object has no attribute 'constructor'
26	AttributeError: 'ArrayAsCollection' object has no attribute 'toArray'
24	AttributeError: '_no_name_provided__10' object has no attribute 'constructor'
23	AttributeError: 'CheckStateMachineContinuation' object has no attribute 'constructor'
23	kotlin.NotImplementedError: An operation is not implemented: IrSpreadElementImpl is not supported yet here
21	AttributeError: 'Companion_23' object has no attribute 'constructor'
21	NameError: name 'kotlin_Result_T_' is not defined
20	TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'
19	RecursionError: maximum recursion depth exceeded
19	There was a problem when extracting the contents of STDERR. Details: java.io.IOException: Stream closed
19	UnboundLocalError: local variable 'test1' referenced before assignment
18	TypeError: unsupported operand type(s) for +: 'NoneType' and 'NoneType'
17	AttributeError: 'int' object has no attribute 'toString'
16	TypeError: object of type 'NoneType' has no len()
15	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail 0]>
14	AttributeError: '_no_name_provided__12' object has no attribute 'constructor'
14	TypeError: can only concatenate str (not "int") to str
12	NameError: name 'visitExpression_other__inToPyStatementTransformer_org_jetbrains_kotlin_ir_expressions_impl_IrCallImpl' is not defined
12	TypeError: __init__() takes 1 positional argument but 2 were given
12	UnboundLocalError: local variable 'test0' referenced before assignment
10	AttributeError: 'NoneType' object has no attribute '__setitem__'
10	ImportError: cannot import name 'box' from 'compiled_module' <path-truncated>)
10	NameError: name 'kotlin_Float' is not defined
9	AttributeError: 'NoneType' object has no attribute 'invoke_0_k_'
9	NameError: name 'kotlin_CharSequence' is not defined
9	java.lang.IllegalStateException: UNRESOLVED_REFERENCE_WRONG_RECEIVER: Unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
9	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail]>
9	org.junit.ComparisonFailure: expected:<[O]K> but was:<[K]K>
8	AttributeError: 'NoneType' object has no attribute 'foo_0_k_'
8	java.lang.IllegalArgumentException: List has more than one element.
7	AttributeError: 'C' object has no attribute 'constructor'
7	AttributeError: 'NoneType' object has no attribute 'data'
7	NameError: name 'Object' is not defined
7	NameError: name 'Result_T_' is not defined
7	NameError: name 'kotlin_UByte' is not defined
7	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail 1]>
6	AttributeError: 'M' object has no attribute 'i'
6	NameError: name 'kotlin_Long' is not defined
6	TypeError: unsupported operand type(s) for +: 'M' and 'int'
6	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail: 1:2;]>
6	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail: None]>
5	AttributeError: 'NoneType' object has no attribute 'getValue_1kobyo_k_'
5	NameError: name 'kotlin_ULong' is not defined
5	NameError: name 'test_A' is not defined
5	NameError: name 'test_C' is not defined
5	TypeError: can only concatenate str (not "NoneType") to str
5	TypeError: unsupported operand type(s) for &: 'float' and 'int'
5	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail: None]>
4	AttributeError: 'Companion_20' object has no attribute 'getO_0_k_'
4	AttributeError: 'SequenceBuilderIterator' object has no attribute 'constructor'
4	MemoryError
4	NameError: name 'Infinity' is not defined
4	NameError: name 'T' is not defined
4	NameError: name 'test_S' is not defined
4	NameError: name 'visitExpression_other__inToPyStatementTransformer_org_jetbrains_kotlin_ir_expressions_impl_IrFunctionExpressionImpl' is not defined
4	TypeError: '<' not supported between instances of 'NoneType' and 'NoneType'
4	java.lang.IllegalStateException: TOO_MANY_ARGUMENTS: Too many arguments for public fun assertTrue(x: Boolean): Unit defined in kotlin.test (10,34) in <path-truncated>
4	java.lang.NullPointerException
4	org.junit.ComparisonFailure: expected:<[OK]> but was:<[<compiled_module.A object at [address]>]>
4	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail 1]>
4	org.junit.ComparisonFailure: expected:<[OK]> but was:<[test1 A.foo]>
3	AttributeError: 'EmptyContinuation_0' object has no attribute 'constructor'
3	AttributeError: 'Foo' object has no attribute 'bar'
3	AttributeError: 'Impl' object has no attribute 'constructor'
3	AttributeError: 'NoneType' object has no attribute 'constructor'
3	AttributeError: 'NoneType' object has no attribute 'getValue_d8h4ck_k_'
3	AttributeError: 'NoneType' object has no attribute 'iterator_0_k_'
3	AttributeError: 'NoneType' object has no attribute 'string'
3	AttributeError: 'int' object has no attribute 'toDouble_0_k_'
3	NameError: name 'Foo_T_' is not defined
3	NameError: name 'kotlin_Double_' is not defined
3	NameError: name 'translateCallArguments_1' is not defined
3	NameError: name 'translateCallArguments_2' is not defined
3	NameError: name 'translateCallArguments_3' is not defined
3	NameError: name 'visitExpression_other__inToPyStatementTransformer_org_jetbrains_kotlin_ir_expressions_impl_IrGetFieldImpl' is not defined
3	NameError: name 'visitExpression_other__inToPyStatementTransformer_org_jetbrains_kotlin_ir_expressions_impl_IrGetValueImpl' is not defined
3	NameError: name 'visitExpression_other__inToPyStatementTransformer_org_jetbrains_kotlin_ir_expressions_impl_IrTypeOperatorCallImpl' is not defined
3	SyntaxError: EOL while scanning string literal
3	UnboundLocalError: local variable 'step' referenced before assignment
3	java.lang.IllegalStateException: UNRESOLVED_REFERENCE: Unresolved reference: setOf (62,29) in <path-truncated>
3	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail #1]>
3	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail #2]>
3	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail1: None]>
2	AttributeError: 'A' object has no attribute 'constructor'
